trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.6, 'e': 1.0}",25,0,-103.11750202719716,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.6, 'e': 1.0}",20,0,-181.3891180394965,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
93,False,"{'a': 0.6, 'e': 1.0}",20,0,-154.72914857815562,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
94,False,"{'a': 0.6, 'e': 1.0}",25,0,-44.448776683335964,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.6, 'e': 1.0}",30,0,-255.21022021625797,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
96,False,"{'a': 0.6, 'e': 1.0}",35,0,-212.6623676620705,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
97,False,"{'a': 0.6, 'e': 1.0}",25,0,-210.30164418658245,"{0: 13, 1: 6, 2: 1, 3: 1, 4: 4}",0
98,False,"{'a': 0.6, 'e': 1.0}",25,0,-153.91610140768447,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
99,False,"{'a': 0.6, 'e': 1.0}",25,0,-89.99882105776486,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
100,False,"{'a': 0.6, 'e': 1.0}",20,0,-22.686550767303046,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.6, 'e': 1.0}",20,0,-153.62829808733898,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
102,False,"{'a': 0.6, 'e': 1.0}",30,0,-128.89790930348636,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
103,False,"{'a': 0.6, 'e': 1.0}",20,0,-159.37380379281666,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
104,False,"{'a': 0.6, 'e': 1.0}",25,0,-202.27872819786273,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
105,False,"{'a': 0.6, 'e': 1.0}",25,0,-63.94128738634588,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
106,False,"{'a': 0.6, 'e': 1.0}",25,0,-37.236027207078294,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.6, 'e': 1.0}",20,0,-30.43826460079726,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 1.0}",20,0,-140.5989593781092,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
109,False,"{'a': 0.6, 'e': 1.0}",25,2,-24.447523320413335,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
110,False,"{'a': 0.6, 'e': 1.0}",25,0,-154.98669055642117,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
111,False,"{'a': 0.6, 'e': 1.0}",30,0,-44.89703112178893,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.6, 'e': 1.0}",30,0,-185.68393637634813,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
113,False,"{'a': 0.6, 'e': 1.0}",25,0,-204.37091668460275,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
114,False,"{'a': 0.6, 'e': 1.0}",25,0,-245.21066332333507,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
115,False,"{'a': 0.6, 'e': 1.0}",25,0,-78.31848070688685,"{0: 12, 1: 8, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 1.0}",25,0,-60.900242185397566,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
117,False,"{'a': 0.6, 'e': 1.0}",35,0,-155.00008121575027,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
118,False,"{'a': 0.6, 'e': 1.0}",20,0,-41.13439850349183,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.6, 'e': 1.0}",30,0,-76.00462969258712,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
120,False,"{'a': 0.6, 'e': 1.0}",20,0,-187.5427769344724,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
